,Date,Type,Description,"Cheque/Refer 
ence No",Debit,Credit,Balance,Channel,Category
0,01/10/2022,,UPI 227443786080UPIamazon,227443786080.0,100.00,,"9,248.60","11111-Central 
Data Center",Shopping
1,01/10/2022,,UPI 227454209689UPI@icrecreamstore,227454209689.0,15.00,,"9,233.60","11111-Central 
Data Center",Shopping
2,02/10/2022,,"BEN KNOCKOFF:227190626685:28- 
SEP-22-13266419LIC",,,"60,000.00","69,233.60","9006-DIGITAL 
CHANNEL'S 
RECONCILATIO 
N DEPT HO",Shopping
3,02/10/2022,,UPI 227589146257UPIamazon,227589146257.0,"5,000.00",,"64,233.60","11111-Central 
Data Center",Shopping
4,03/10/2022,,"UPI227602981689GOVTPOLYTECH
NIC COLLEGE",227602981689.0,150.00,,"64,083.60","11111-Central 
Data Center",Shopping
5,03/10/2022,,UPI 227614257278UPImyntra,227614257278.0,"5,000.00",,"59,083.60","11111-Central 
Data Center",Shopping
6,03/10/2022,,UPI 227614315268UPILoan,227614315268.0,"58,000.00",,"1,083.60","11111-Central 
Data Center",Shopping
7,04/10/2022,,UPI 227728246304UPIDMart,227728246304.0,110.00,,973.60,"11111-Central 
Data Center",Shopping
8,05/10/2022,,UPI 227843101059UPIPravinMart,227843101059.0,279.00,,694.60,"11111-Central 
Data Center",Shopping
9,05/10/2022,,UPI 227860412175UPILIC,227860412175.0,,280.00,974.60,"11111-Central 
Data Center",Finance
10,05/10/2022,,UPI 227860465264UPIpolicy,227860465264.0,,"1,000.00","1,974.60","11111-Central 
Data Center",Finance
11,05/10/2022,,UPI 227860578433UPIicici,227860578433.0,,200.00,"2,174.60","11111-Central 
Data Center",Shopping
12,05/10/2022,,UPI 227843269908UPI,227843269908.0,200.00,,"1,974.60","11111-Central 
Data Center",Shopping
13,05/10/2022,,NEFT 227844298590Zomato Payment,227844298590.0,298.25,,"1,676.35","11111-Central 
Data Center",food
14,05/10/2022,,NEFT 227851799228Lilioriginamazon,227851799228.0,247.00,,"1,429.35","11111-Central 
Data Center",Shopping
