,Date,Type,Description,"Cheque/Refer 
ence No",Debit,Credit,Balance,Channel,Category
0,02/01/2022,,UPI  221431332302UPIAmazon  Online,221431332302,200.00,,"7,795.96","11111-Central 
Data Center",Shopping
1,04/01/2022,,CASH  221623368642UPILIC,221623368642,,300.00,"8,095.96","11111-Central 
Data Center",Finance
2,04/01/2022,,NEFT  221677103972UPIdomino's  pizza,221677103972,"8,000.00",,95.96,"11111-Central 
Data Center",Shopping
3,01/05/2022,,UPI  224470169279UPIOLA,224470169279,65.00,,288.60,"11111-Central 
Data Center",Shopping
4,02/05/2022,,CASH  224595013824UPIzomato,224595013824,50.00,,238.60,"11111-Central 
Data Center",Shopping
5,02/05/2022,,UPI  224597295281UPIdmart,224597295281,67.00,,171.60,"11111-Central 
Data Center",Shopping
6,03/05/2022,,CASH 224615244950UPIajio,224615244950,60.00,,111.60,"11111-Central 
Data Center",Shopping
7,03/05/2022,,CASH  224616508685UPItaxi,224616508685,45.00,,66.60,"11111-Central 
Data Center",Shopping
8,03/05/2022,,UPI  224616616447UPIfood,224616616447,35.00,,31.60,"11111-Central 
Data Center",Shopping
9,04/05/2022,,NEFT 224735399763UPIfood,224735399763,31.00,,0.60,"11111-Central 
Data Center",food
10,09/05/2022,,UPI  225227050717UPIEMI,225227050717,,100.00,100.60,"11111-Central 
Data Center",Shopping
11,09/05/2022,,RTGS  225287151162UPILoan,225287151162,,100.00,200.60,"11111-Central 
Data Center",Shopping
12,11/05/2022,,CASH  225406906201UPIfinance,225406906201,,300.00,500.60,"11111-Central 
Data Center",Shopping
13,11/05/2022,,UPI 225400331869UPIswiggy,225400331869,362.00,,138.60,"11111-Central 
Data Center",Shopping
14,11/05/2022,,UPI 225401678312UPImcdonald’s,225401678312,52.00,,86.60,"11111-Central 
Data Center",Shopping
15,01/06/2022,,UPI  227443786080UPIamazon,227443786080,100.00,,"9,248.60","11111-Central 
Data Center",Shopping
16,02/06/2022,,UPI  227589146257UPIamazon,227589146257,"5,000.00",,"64,233.60","11111-Central 
Data Center",Shopping
17,03/06/2022,,UPI  227614257278UPImyntra,227614257278,"5,000.00",,"59,083.60","11111-Central 
Data Center",Shopping
18,03/06/2022,,CASH  227614315268UPILoan,227614315268,"58,000.00",,"1,083.60","11111-Central 
Data Center",Shopping
19,04/06/2022,,UPI  227728246304UPIDMart,227728246304,110.00,,973.60,"11111-Central 
Data Center",Shopping
20,05/06/2022,,CASH 227843101059UPIPravinMart,227843101059,279.00,,694.60,"11111-Central 
Data Center",Shopping
21,07/06/2022,,UPI  228003219376UPIflipkart,228003219376,200.00,,948.35,"11111-Central 
Data Center",Shopping
